model,ckpt_path,member_id,corruption,param,severity,accuracy
federated_member2,lstm\federated\base_lstm_member2_federated.pt,3,ch_dropout,p,0.0,0.6785714285714286
federated_member2,lstm\federated\base_lstm_member2_federated.pt,3,ch_dropout,p,0.1,0.627200163733115
federated_member2,lstm\federated\base_lstm_member2_federated.pt,3,ch_dropout,p,0.3,0.5250716332378224
federated_member2,lstm\federated\base_lstm_member2_federated.pt,3,ch_dropout,p,0.5,0.42437576749897665
federated_member2,lstm\federated\base_lstm_member2_federated.pt,3,time_mask,L,0.0,0.6785714285714286
federated_member2,lstm\federated\base_lstm_member2_federated.pt,3,time_mask,L,5.0,0.6728407695456406
federated_member2,lstm\federated\base_lstm_member2_federated.pt,3,time_mask,L,10.0,0.6694637740483013
federated_member2,lstm\federated\base_lstm_member2_federated.pt,3,time_mask,L,20.0,0.6290421612771183
federated_member2,lstm\federated\base_lstm_member2_federated.pt,3,time_mask,L,40.0,0.48321735571019236
federated_member2,lstm\federated\base_lstm_member2_federated.pt,3,time_shift,k,0.0,0.6785714285714286
federated_member2,lstm\federated\base_lstm_member2_federated.pt,3,time_shift,k,2.0,0.6753990994678674
federated_member2,lstm\federated\base_lstm_member2_federated.pt,3,time_shift,k,5.0,0.6681334424887434
federated_member2,lstm\federated\base_lstm_member2_federated.pt,3,time_shift,k,10.0,0.648894801473598
federated_member2,lstm\federated\base_lstm_member2_federated.pt,3,time_shift,k,20.0,0.46336471551371267
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,1,clean,none,0.0,0.7651356993736952
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,1,gaussian,sigma,0.0,0.7651356993736952
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,1,gaussian,sigma,0.05,0.766570981210856
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,1,gaussian,sigma,0.1,0.7670929018789144
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,1,gaussian,sigma,0.2,0.7214248434237995
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,1,ch_dropout,p,0.0,0.7651356993736952
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,1,ch_dropout,p,0.1,0.7192066805845512
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,1,ch_dropout,p,0.3,0.5955114822546973
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,1,ch_dropout,p,0.5,0.4549843423799583
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,1,time_mask,L,0.0,0.7651356993736952
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,1,time_mask,L,5.0,0.757437369519833
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,1,time_mask,L,10.0,0.7379958246346555
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,1,time_mask,L,20.0,0.6518789144050104
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,1,time_mask,L,40.0,0.5656315240083507
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,1,time_shift,k,0.0,0.7651356993736952
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,1,time_shift,k,2.0,0.7719206680584552
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,1,time_shift,k,5.0,0.7554801670146137
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,1,time_shift,k,10.0,0.7332985386221295
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,1,time_shift,k,20.0,0.6420929018789144
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,2,clean,none,0.0,0.7148399612027158
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,2,gaussian,sigma,0.0,0.7148399612027158
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,2,gaussian,sigma,0.05,0.7129809246686065
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,2,gaussian,sigma,0.1,0.7073229873908826
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,2,gaussian,sigma,0.2,0.5455059812479793
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,2,ch_dropout,p,0.0,0.7148399612027158
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,2,ch_dropout,p,0.1,0.6880860006466214
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,2,ch_dropout,p,0.3,0.6198674426123505
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,2,ch_dropout,p,0.5,0.5027481409634659
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,2,time_mask,L,0.0,0.7148399612027158
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,2,time_mask,L,5.0,0.7159715486582606
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,2,time_mask,L,10.0,0.6997251859036534
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,2,time_mask,L,20.0,0.6454898157129001
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,2,time_mask,L,40.0,0.5571451665050113
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,2,time_shift,k,0.0,0.7148399612027158
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,2,time_shift,k,2.0,0.712172647914646
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,2,time_shift,k,5.0,0.7143549951503395
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,2,time_shift,k,10.0,0.7075654704170709
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,2,time_shift,k,20.0,0.6178467507274491
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,3,clean,none,0.0,0.852537863282849
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,3,gaussian,sigma,0.0,0.852537863282849
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,3,gaussian,sigma,0.05,0.8542775276299631
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,3,gaussian,sigma,0.1,0.8519238641015145
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,3,gaussian,sigma,0.2,0.7278960294719607
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,3,ch_dropout,p,0.0,0.852537863282849
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,3,ch_dropout,p,0.1,0.7951289398280802
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,3,ch_dropout,p,0.3,0.6536021285304953
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,3,ch_dropout,p,0.5,0.48874334834220223
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,3,time_mask,L,0.0,0.852537863282849
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,3,time_mask,L,5.0,0.8273638968481375
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,3,time_mask,L,10.0,0.7961522717969709
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,3,time_mask,L,20.0,0.6948424068767909
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,3,time_mask,L,40.0,0.5870855505525993
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,3,time_shift,k,0.0,0.852537863282849
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,3,time_shift,k,2.0,0.8390298812934917
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,3,time_shift,k,5.0,0.8177445763405649
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,3,time_shift,k,10.0,0.7650429799426934
centralized_ft_m3,lstm\federated\centralized_finetuned_member3.pt,3,time_shift,k,20.0,0.6049938600081867
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,1,clean,none,0.0,0.7036795407098121
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,1,gaussian,sigma,0.0,0.7036795407098121
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,1,gaussian,sigma,0.05,0.7074634655532359
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,1,gaussian,sigma,0.1,0.713856993736952
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,1,gaussian,sigma,0.2,0.7250782881002088
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,1,ch_dropout,p,0.0,0.7036795407098121
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,1,ch_dropout,p,0.1,0.670929018789144
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,1,ch_dropout,p,0.3,0.5844206680584552
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,1,ch_dropout,p,0.5,0.4612473903966597
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,1,time_mask,L,0.0,0.7036795407098121
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,1,time_mask,L,5.0,0.6992432150313153
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,1,time_mask,L,10.0,0.6854123173277662
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,1,time_mask,L,20.0,0.6325678496868476
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,1,time_mask,L,40.0,0.4518528183716075
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,1,time_shift,k,0.0,0.7036795407098121
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,1,time_shift,k,2.0,0.7244258872651357
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,1,time_shift,k,5.0,0.7305584551148225
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,1,time_shift,k,10.0,0.7163361169102297
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,1,time_shift,k,20.0,0.6294363256784968
